date,product,demand,lead_time_days,material_available,supplier_delay,machine_capacity,machine_downtime,labor_available,absenteeism,effective_labor,effective_capacity,effective_material,month,day_of_week,lag_1,lag_7
2023-03-16,Headphones,144,10,136,1,154,0,127,0,127.0,154.0,81.6,3,3,148.0,136.0
2023-03-17,Headphones,150,6,179,0,222,0,90,0,90.0,222.0,179.0,3,4,144.0,130.0
2023-03-18,Headphones,134,5,129,0,238,0,141,0,141.0,238.0,129.0,3,5,150.0,142.0
2023-03-19,Headphones,129,8,217,1,231,0,145,0,145.0,231.0,130.2,3,6,134.0,131.0
2023-03-20,Headphones,147,2,160,0,218,1,97,0,97.0,152.6,160.0,3,0,129.0,132.0
2023-03-21,Headphones,153,4,168,0,171,0,116,0,116.0,171.0,168.0,3,1,147.0,142.0
2023-03-22,Headphones,155,8,169,1,233,1,175,0,175.0,163.1,101.39999999999999,3,2,153.0,148.0
2023-03-23,Headphones,141,5,234,0,198,0,94,0,94.0,198.0,234.0,3,3,155.0,144.0
2023-03-24,Headphones,138,3,206,0,208,0,170,1,136.0,208.0,206.0,3,4,141.0,150.0
2023-03-25,Headphones,135,9,230,1,165,0,96,0,96.0,165.0,138.0,3,5,138.0,134.0
2023-03-26,Headphones,142,2,180,0,153,0,127,0,127.0,153.0,180.0,3,6,135.0,129.0
2023-03-27,Headphones,155,5,165,1,227,1,136,0,136.0,158.89999999999998,99.0,3,0,142.0,147.0
2023-03-28,Headphones,165,6,119,0,130,0,132,0,132.0,130.0,119.0,3,1,155.0,153.0
2023-03-29,Headphones,142,5,165,1,201,0,146,0,146.0,201.0,99.0,3,2,165.0,155.0
2023-03-30,Headphones,169,4,111,0,190,0,149,1,119.2,190.0,111.0,3,3,142.0,141.0
2023-03-31,Headphones,161,4,208,0,212,0,91,0,91.0,212.0,208.0,3,4,169.0,138.0
2023-04-01,Headphones,157,10,118,1,153,0,132,0,132.0,153.0,70.8,4,5,161.0,135.0
2023-04-02,Headphones,174,6,158,1,194,0,148,0,148.0,194.0,94.8,4,6,157.0,142.0
2023-04-03,Headphones,161,6,233,1,160,1,92,0,92.0,112.0,139.79999999999998,4,0,174.0,155.0
2023-04-04,Headphones,178,3,133,0,187,0,132,0,132.0,187.0,133.0,4,1,161.0,165.0
2023-04-05,Headphones,172,3,165,0,211,0,90,0,90.0,211.0,165.0,4,2,178.0,142.0
2023-04-06,Headphones,177,4,156,0,172,0,105,0,105.0,172.0,156.0,4,3,172.0,169.0
2023-04-07,Headphones,181,4,190,0,133,0,164,0,164.0,133.0,190.0,4,4,177.0,161.0
2023-04-08,Headphones,184,7,201,0,198,1,144,0,144.0,138.6,201.0,4,5,181.0,157.0
2023-04-09,Headphones,168,8,118,1,186,0,117,0,117.0,186.0,70.8,4,6,184.0,174.0
2023-04-10,Headphones,183,4,177,0,176,1,162,0,162.0,123.19999999999999,177.0,4,0,168.0,161.0
2023-04-11,Headphones,171,10,111,1,156,0,111,1,88.80000000000001,156.0,66.6,4,1,183.0,178.0
2023-04-12,Headphones,188,5,175,0,225,0,138,0,138.0,225.0,175.0,4,2,171.0,172.0
2023-04-13,Headphones,192,5,127,0,152,1,128,0,128.0,106.39999999999999,127.0,4,3,188.0,177.0
2023-04-14,Headphones,171,7,126,0,186,0,127,0,127.0,186.0,126.0,4,4,192.0,181.0
2023-04-15,Headphones,189,6,148,0,201,0,113,0,113.0,201.0,148.0,4,5,171.0,184.0
2023-04-16,Headphones,202,6,148,0,184,0,172,0,172.0,184.0,148.0,4,6,189.0,168.0
2023-04-17,Headphones,186,5,118,0,248,0,155,0,155.0,248.0,118.0,4,0,202.0,183.0
2023-04-18,Headphones,198,2,183,0,143,0,121,0,121.0,143.0,183.0,4,1,186.0,171.0
2023-04-19,Headphones,204,2,101,0,158,0,137,0,137.0,158.0,101.0,4,2,198.0,188.0
2023-04-20,Headphones,207,6,101,0,175,0,131,0,131.0,175.0,101.0,4,3,204.0,192.0
2023-04-21,Headphones,198,2,226,0,168,0,166,0,166.0,168.0,226.0,4,4,207.0,171.0
2023-04-22,Headphones,202,5,197,0,225,1,168,0,168.0,157.5,197.0,4,5,198.0,189.0
2023-04-23,Headphones,199,6,106,0,244,0,132,0,132.0,244.0,106.0,4,6,202.0,202.0
2023-04-24,Headphones,190,6,215,1,156,0,171,0,171.0,156.0,129.0,4,0,199.0,186.0
2023-04-25,Headphones,201,3,206,0,244,0,152,0,152.0,244.0,206.0,4,1,190.0,198.0
2023-04-26,Headphones,205,7,117,0,190,0,116,1,92.80000000000001,190.0,117.0,4,2,201.0,204.0
2023-04-27,Headphones,194,6,185,0,189,0,128,0,128.0,189.0,185.0,4,3,205.0,207.0
2023-04-28,Headphones,203,4,228,0,147,1,179,0,179.0,102.89999999999999,228.0,4,4,194.0,198.0
2023-04-29,Headphones,206,6,107,0,184,0,96,1,76.80000000000001,184.0,107.0,4,5,203.0,202.0
2023-04-30,Headphones,208,5,104,0,180,0,156,0,156.0,180.0,104.0,4,6,206.0,199.0
2023-05-01,Headphones,208,3,201,0,226,0,160,0,160.0,226.0,201.0,5,0,208.0,190.0
2023-05-02,Headphones,214,5,180,1,129,1,176,0,176.0,90.3,108.0,5,1,208.0,201.0
2023-05-03,Headphones,215,4,166,0,219,1,175,0,175.0,153.29999999999998,166.0,5,2,214.0,205.0
2023-05-04,Headphones,194,10,234,1,151,0,116,0,116.0,151.0,140.4,5,3,215.0,194.0
2023-05-05,Headphones,203,2,133,0,233,0,93,0,93.0,233.0,133.0,5,4,194.0,203.0
2023-05-06,Headphones,192,6,244,1,229,0,137,0,137.0,229.0,146.4,5,5,203.0,206.0
2023-05-07,Headphones,186,7,219,0,189,0,92,0,92.0,189.0,219.0,5,6,192.0,208.0
2023-05-08,Headphones,197,7,130,0,142,0,117,0,117.0,142.0,130.0,5,0,186.0,208.0
2023-05-09,Headphones,213,10,129,1,215,0,120,0,120.0,215.0,77.39999999999999,5,1,197.0,214.0
2023-05-10,Headphones,206,5,148,0,194,1,175,0,175.0,135.79999999999998,148.0,5,2,213.0,215.0
2023-05-11,Headphones,201,5,238,0,173,0,110,0,110.0,173.0,238.0,5,3,206.0,194.0
2023-05-12,Headphones,208,7,244,1,122,0,176,0,176.0,122.0,146.4,5,4,201.0,203.0
2023-05-13,Headphones,204,5,193,1,123,1,178,0,178.0,86.1,115.8,5,5,208.0,192.0
2023-05-14,Headphones,198,2,112,0,195,0,109,0,109.0,195.0,112.0,5,6,204.0,186.0
2023-05-15,Headphones,207,5,117,0,232,0,96,0,96.0,232.0,117.0,5,0,198.0,197.0
2023-05-16,Headphones,206,5,146,0,215,0,102,0,102.0,215.0,146.0,5,1,207.0,213.0
2023-05-17,Headphones,204,6,221,0,178,0,105,0,105.0,178.0,221.0,5,2,206.0,206.0
2023-05-18,Headphones,191,6,132,0,211,0,95,0,95.0,211.0,132.0,5,3,204.0,201.0
2023-05-19,Headphones,185,5,144,1,194,0,94,0,94.0,194.0,86.39999999999999,5,4,191.0,208.0
2023-05-20,Headphones,200,5,218,1,217,0,121,0,121.0,217.0,130.79999999999998,5,5,185.0,204.0
2023-05-21,Headphones,200,7,144,1,155,0,119,0,119.0,155.0,86.39999999999999,5,6,200.0,198.0
2023-05-22,Headphones,184,5,125,1,232,0,149,0,149.0,232.0,75.0,5,0,200.0,207.0
2023-05-23,Headphones,175,10,137,1,192,1,117,0,117.0,134.39999999999998,82.2,5,1,184.0,206.0
2023-05-24,Headphones,185,7,176,1,170,0,109,0,109.0,170.0,105.6,5,2,175.0,204.0
2023-05-25,Headphones,182,3,118,0,228,0,171,1,136.8,228.0,118.0,5,3,185.0,191.0
2023-05-26,Headphones,164,3,107,0,245,1,132,0,132.0,171.5,107.0,5,4,182.0,185.0
2023-05-27,Headphones,176,2,173,0,224,1,164,1,131.20000000000002,156.79999999999998,173.0,5,5,164.0,200.0
2023-05-28,Headphones,179,10,133,1,208,1,134,0,134.0,145.6,79.8,5,6,176.0,200.0
2023-05-29,Headphones,174,3,215,0,249,0,173,0,173.0,249.0,215.0,5,0,179.0,184.0
2023-05-30,Headphones,176,2,232,0,184,0,143,0,143.0,184.0,232.0,5,1,174.0,175.0
2023-05-31,Headphones,159,7,208,1,243,0,95,0,95.0,243.0,124.8,5,2,176.0,185.0
2023-06-01,Headphones,178,4,211,0,214,0,167,0,167.0,214.0,211.0,6,3,159.0,182.0
2023-06-02,Headphones,183,5,166,0,238,0,173,0,173.0,238.0,166.0,6,4,178.0,164.0
2023-06-03,Headphones,171,2,237,0,156,1,133,1,106.4,109.19999999999999,237.0,6,5,183.0,176.0
2023-06-04,Headphones,171,3,129,0,142,1,115,0,115.0,99.39999999999999,129.0,6,6,171.0,179.0
2023-06-05,Headphones,182,2,115,0,209,0,103,0,103.0,209.0,115.0,6,0,171.0,174.0
2023-06-06,Headphones,158,6,200,0,132,0,125,1,100.0,132.0,200.0,6,1,182.0,176.0
2023-06-07,Headphones,170,3,172,0,125,0,175,0,175.0,125.0,172.0,6,2,158.0,159.0
2023-06-08,Headphones,155,5,131,0,226,0,149,0,149.0,226.0,131.0,6,3,170.0,178.0
2023-06-09,Headphones,151,6,182,0,172,1,99,0,99.0,120.39999999999999,182.0,6,4,155.0,183.0
2023-06-10,Headphones,158,3,188,0,241,0,110,0,110.0,241.0,188.0,6,5,151.0,171.0
2023-06-11,Headphones,179,2,111,0,180,0,122,0,122.0,180.0,111.0,6,6,158.0,171.0
2023-06-12,Headphones,173,2,118,0,146,0,179,0,179.0,146.0,118.0,6,0,179.0,182.0
2023-06-13,Headphones,157,3,162,0,233,0,154,0,154.0,233.0,162.0,6,1,173.0,158.0
2023-06-14,Headphones,153,2,170,0,150,0,179,0,179.0,150.0,170.0,6,2,157.0,170.0
2023-06-15,Headphones,160,7,247,0,190,1,98,0,98.0,133.0,247.0,6,3,153.0,155.0
2023-06-16,Headphones,160,2,199,0,232,1,134,1,107.2,162.39999999999998,199.0,6,4,160.0,151.0
2023-06-17,Headphones,170,8,197,1,237,1,112,0,112.0,165.89999999999998,118.19999999999999,6,5,160.0,158.0
2023-06-18,Headphones,165,6,131,1,145,0,161,0,161.0,145.0,78.6,6,6,170.0,179.0
2023-06-19,Headphones,154,6,222,0,200,0,149,1,119.2,200.0,222.0,6,0,165.0,173.0
2023-06-20,Headphones,181,2,209,0,156,0,169,0,169.0,156.0,209.0,6,1,154.0,157.0
2023-06-21,Headphones,155,7,162,1,167,0,96,1,76.80000000000001,167.0,97.2,6,2,181.0,153.0
2023-06-22,Headphones,178,5,127,0,178,1,98,0,98.0,124.6,127.0,6,3,155.0,160.0
2023-06-23,Headphones,179,6,178,0,188,1,136,0,136.0,131.6,178.0,6,4,178.0,160.0
2023-06-24,Headphones,185,10,220,1,229,0,99,0,99.0,229.0,132.0,6,5,179.0,170.0
2023-06-25,Headphones,176,5,239,1,143,1,137,1,109.60000000000001,100.1,143.4,6,6,185.0,165.0
2023-06-26,Headphones,167,2,205,0,170,0,176,0,176.0,170.0,205.0,6,0,176.0,154.0
2023-06-27,Headphones,190,2,175,0,199,0,160,0,160.0,199.0,175.0,6,1,167.0,181.0
2023-06-28,Headphones,171,6,233,0,224,0,142,0,142.0,224.0,233.0,6,2,190.0,155.0
2023-06-29,Headphones,165,2,127,0,240,0,109,0,109.0,240.0,127.0,6,3,171.0,178.0
2023-06-30,Headphones,191,3,197,0,204,0,158,0,158.0,204.0,197.0,6,4,165.0,179.0
2023-07-01,Headphones,191,6,125,0,138,0,158,0,158.0,138.0,125.0,7,5,191.0,185.0
2023-07-02,Headphones,173,2,153,0,199,0,91,0,91.0,199.0,153.0,7,6,191.0,176.0
2023-07-03,Headphones,195,6,129,0,200,1,110,0,110.0,140.0,129.0,7,0,173.0,167.0
2023-07-04,Headphones,196,6,181,0,178,0,171,1,136.8,178.0,181.0,7,1,195.0,190.0
2023-07-05,Headphones,202,7,231,0,140,0,101,0,101.0,140.0,231.0,7,2,196.0,171.0
2023-07-06,Headphones,206,5,160,0,188,0,127,0,127.0,188.0,160.0,7,3,202.0,165.0
2023-07-07,Headphones,187,5,128,0,142,0,167,0,167.0,142.0,128.0,7,4,206.0,191.0
2023-07-08,Headphones,203,3,112,0,219,0,156,0,156.0,219.0,112.0,7,5,187.0,191.0
2023-07-09,Headphones,208,4,189,0,145,0,120,1,96.0,145.0,189.0,7,6,203.0,173.0
2023-07-10,Headphones,200,6,231,1,141,0,137,0,137.0,141.0,138.6,7,0,208.0,195.0
2023-07-11,Headphones,192,9,159,1,199,0,170,0,170.0,199.0,95.39999999999999,7,1,200.0,196.0
2023-07-12,Headphones,192,4,119,0,233,0,164,0,164.0,233.0,119.0,7,2,192.0,202.0
2023-07-13,Headphones,210,7,147,1,215,0,118,0,118.0,215.0,88.2,7,3,192.0,206.0
2023-07-14,Headphones,194,6,226,0,123,0,170,0,170.0,123.0,226.0,7,4,210.0,187.0
2023-07-15,Headphones,223,6,111,0,161,0,102,0,102.0,161.0,111.0,7,5,194.0,203.0
2023-07-16,Headphones,211,9,232,1,249,0,153,0,153.0,249.0,139.2,7,6,223.0,208.0
2023-07-17,Headphones,206,6,247,1,128,0,142,0,142.0,128.0,148.2,7,0,211.0,200.0
2023-07-18,Headphones,202,6,136,1,213,0,166,1,132.8,213.0,81.6,7,1,206.0,192.0
2023-07-19,Headphones,204,7,161,0,229,0,117,0,117.0,229.0,161.0,7,2,202.0,192.0
2023-07-20,Headphones,227,6,218,0,205,0,146,1,116.80000000000001,205.0,218.0,7,3,204.0,210.0
2023-07-21,Headphones,218,3,151,0,244,0,176,1,140.8,244.0,151.0,7,4,227.0,194.0
2023-07-22,Headphones,230,6,193,0,164,0,141,0,141.0,164.0,193.0,7,5,218.0,223.0
2023-07-23,Headphones,221,7,229,0,201,1,124,0,124.0,140.7,229.0,7,6,230.0,211.0
2023-07-24,Headphones,219,3,156,0,135,0,122,0,122.0,135.0,156.0,7,0,221.0,206.0
2023-07-25,Headphones,225,8,181,1,171,0,162,0,162.0,171.0,108.6,7,1,219.0,202.0
2023-07-26,Headphones,214,6,208,0,122,0,98,0,98.0,122.0,208.0,7,2,225.0,204.0
2023-07-27,Headphones,231,7,219,0,186,1,156,0,156.0,130.2,219.0,7,3,214.0,227.0
2023-07-28,Headphones,217,7,175,1,217,0,125,0,125.0,217.0,105.0,7,4,231.0,218.0
2023-07-29,Headphones,235,3,213,0,196,1,133,0,133.0,137.2,213.0,7,5,217.0,230.0
2023-07-30,Headphones,234,7,210,1,149,0,149,0,149.0,149.0,126.0,7,6,235.0,221.0
2023-07-31,Headphones,228,4,193,0,166,1,176,0,176.0,116.19999999999999,193.0,7,0,234.0,219.0
2023-08-01,Headphones,237,4,174,0,134,0,179,0,179.0,134.0,174.0,8,1,228.0,225.0
2023-08-02,Headphones,230,7,194,1,122,0,129,0,129.0,122.0,116.39999999999999,8,2,237.0,214.0
2023-08-03,Headphones,232,2,248,0,223,0,154,1,123.2,223.0,248.0,8,3,230.0,231.0
2023-08-04,Headphones,222,7,142,0,193,0,107,0,107.0,193.0,142.0,8,4,232.0,217.0
2023-08-05,Headphones,224,5,228,0,141,0,155,0,155.0,141.0,228.0,8,5,222.0,235.0
2023-08-06,Headphones,221,7,217,1,209,0,131,0,131.0,209.0,130.2,8,6,224.0,234.0
2023-08-07,Headphones,215,3,194,0,175,0,94,0,94.0,175.0,194.0,8,0,221.0,228.0
2023-08-08,Headphones,237,7,215,0,157,0,147,0,147.0,157.0,215.0,8,1,215.0,237.0
2023-08-09,Headphones,234,5,190,0,132,0,97,0,97.0,132.0,190.0,8,2,237.0,230.0
2023-08-10,Headphones,231,4,201,0,141,0,101,0,101.0,141.0,201.0,8,3,234.0,232.0
2023-08-11,Headphones,228,9,224,1,159,0,151,0,151.0,159.0,134.4,8,4,231.0,222.0
2023-08-12,Headphones,240,2,248,0,210,0,179,0,179.0,210.0,248.0,8,5,228.0,224.0
2023-08-13,Headphones,229,7,209,1,188,0,179,0,179.0,188.0,125.39999999999999,8,6,240.0,221.0
2023-08-14,Headphones,213,2,125,0,175,0,154,0,154.0,175.0,125.0,8,0,229.0,215.0
2023-08-15,Headphones,237,4,180,0,190,0,90,0,90.0,190.0,180.0,8,1,213.0,237.0
2023-08-16,Headphones,235,5,240,0,120,0,91,0,91.0,120.0,240.0,8,2,237.0,234.0
2023-08-17,Headphones,224,6,130,0,249,0,133,0,133.0,249.0,130.0,8,3,235.0,231.0
2023-08-18,Headphones,207,6,159,0,231,0,111,0,111.0,231.0,159.0,8,4,224.0,228.0
2023-08-19,Headphones,205,3,105,0,233,0,136,0,136.0,233.0,105.0,8,5,207.0,240.0
2023-08-20,Headphones,217,8,249,1,231,0,99,0,99.0,231.0,149.4,8,6,205.0,229.0
2023-08-21,Headphones,206,6,168,0,226,1,151,0,151.0,158.2,168.0,8,0,217.0,213.0
2023-08-22,Headphones,220,5,147,0,244,1,95,0,95.0,170.79999999999998,147.0,8,1,206.0,237.0
2023-08-23,Headphones,209,7,174,1,212,0,132,0,132.0,212.0,104.39999999999999,8,2,220.0,235.0
2023-08-24,Headphones,207,5,229,0,145,0,107,0,107.0,145.0,229.0,8,3,209.0,224.0
2023-08-25,Headphones,198,5,107,0,186,1,149,0,149.0,130.2,107.0,8,4,207.0,207.0
2023-08-26,Headphones,197,4,242,0,138,0,157,0,157.0,138.0,242.0,8,5,198.0,205.0
2023-08-27,Headphones,216,7,115,0,121,1,129,0,129.0,84.69999999999999,115.0,8,6,197.0,217.0
2023-08-28,Headphones,215,4,246,0,187,1,155,0,155.0,130.9,246.0,8,0,216.0,206.0
2023-08-29,Headphones,202,3,167,0,122,1,107,0,107.0,85.39999999999999,167.0,8,1,215.0,220.0
2023-08-30,Headphones,209,6,215,1,210,0,176,0,176.0,210.0,129.0,8,2,202.0,209.0
2023-08-31,Headphones,193,5,191,1,130,0,110,0,110.0,130.0,114.6,8,3,209.0,207.0
2023-09-01,Headphones,192,4,212,0,142,0,102,1,81.60000000000001,142.0,212.0,9,4,193.0,198.0
2023-09-02,Headphones,191,6,204,0,247,0,157,0,157.0,247.0,204.0,9,5,192.0,197.0
2023-09-03,Headphones,214,3,195,0,234,0,123,0,123.0,234.0,195.0,9,6,191.0,216.0
2023-09-04,Headphones,192,9,183,1,140,0,130,0,130.0,140.0,109.8,9,0,214.0,215.0
2023-09-05,Headphones,184,10,226,1,152,0,139,0,139.0,152.0,135.6,9,1,192.0,202.0
2023-09-06,Headphones,203,7,239,0,182,1,141,0,141.0,127.39999999999999,239.0,9,2,184.0,209.0
2023-09-07,Headphones,193,5,186,0,140,1,97,0,97.0,98.0,186.0,9,3,203.0,193.0
2023-09-08,Headphones,183,7,134,1,145,0,177,0,177.0,145.0,80.39999999999999,9,4,193.0,192.0
2023-09-09,Headphones,199,7,187,0,136,0,116,1,92.80000000000001,136.0,187.0,9,5,183.0,191.0
2023-09-10,Headphones,205,4,230,0,187,0,170,0,170.0,187.0,230.0,9,6,199.0,214.0
2023-09-11,Headphones,200,2,185,0,184,0,151,1,120.80000000000001,184.0,185.0,9,0,205.0,192.0
2023-09-12,Headphones,190,4,138,0,169,0,113,0,113.0,169.0,138.0,9,1,200.0,184.0
2023-09-13,Headphones,202,3,164,0,173,0,110,0,110.0,173.0,164.0,9,2,190.0,203.0
2023-09-14,Headphones,195,6,145,0,180,0,137,1,109.60000000000001,180.0,145.0,9,3,202.0,193.0
2023-09-15,Headphones,188,4,191,0,212,0,92,0,92.0,212.0,191.0,9,4,195.0,183.0
2023-09-16,Headphones,208,7,191,0,242,1,108,0,108.0,169.39999999999998,191.0,9,5,188.0,199.0
2023-09-17,Headphones,202,6,106,1,218,0,175,0,175.0,218.0,63.599999999999994,9,6,208.0,205.0
2023-09-18,Headphones,206,4,103,0,200,0,157,0,157.0,200.0,103.0,9,0,202.0,200.0
2023-09-19,Headphones,193,5,115,0,137,0,108,0,108.0,137.0,115.0,9,1,206.0,190.0
2023-09-20,Headphones,203,5,111,0,202,0,155,0,155.0,202.0,111.0,9,2,193.0,202.0
2023-09-21,Headphones,197,7,118,0,136,0,164,1,131.20000000000002,136.0,118.0,9,3,203.0,195.0
2023-09-22,Headphones,199,6,216,0,209,0,163,0,163.0,209.0,216.0,9,4,197.0,188.0
2023-09-23,Headphones,201,6,212,1,131,0,92,1,73.60000000000001,131.0,127.19999999999999,9,5,199.0,208.0
2023-09-24,Headphones,200,6,141,0,154,0,131,0,131.0,154.0,141.0,9,6,201.0,202.0
2023-09-25,Headphones,198,4,105,0,215,0,139,0,139.0,215.0,105.0,9,0,200.0,206.0
